MAPPED REAGENTS,MAPPED PRODUCTS,YIELD
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B-:32]([F:33])([F:34])[F:35].[c:22]1([Cl:36])[cH:23][cH:24][c:25]2[n:26][cH:27][cH:28][cH:29][c:30]2[cH:31]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:22]1[cH:23][cH:24][c:25]2[n:26][cH:27][cH:28][cH:29][c:30]2[cH:31]1.[B:32].[F:33].[F:34].[F:35].[Cl:36],0.156660565784715
[CH3:12][c:13]1[cH:14][cH:15][c:16]2[c:17]([cH:18][n:19][n:20]2[CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][O:26]2)[c:27]1[B-:29]([F:30])([F:31])[F:32].[c:2]1([Br:28])[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1,[c:2]1(-[c:27]2[c:13]([CH3:12])[cH:14][cH:15][c:16]3[c:17]2[cH:18][n:19][n:20]3[CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][O:26]2)[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1.[Br:28].[B:29].[F:30].[F:31].[F:32],0.17766922659123702
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B:31]([OH:32])[OH:33].[c:21]1([I:34])[cH:22][cH:23][c:24]2[n:25][cH:26][cH:27][cH:28][c:29]2[cH:30]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:21]1[cH:22][cH:23][c:24]2[n:25][cH:26][cH:27][cH:28][c:29]2[cH:30]1.[B:31].[O:32].[O:33].[I:34],0.895120857149761
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[Br:31].[c:21]1([B:33]([OH:32])[OH:34])[cH:22][cH:23][c:24]2[n:25][cH:26][cH:27][cH:28][c:29]2[cH:30]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:21]1[cH:22][cH:23][c:24]2[n:25][cH:26][cH:27][cH:28][c:29]2[cH:30]1.[Br:31].[O:32].[B:33].[O:34],0.921947956172235
[CH3:12][c:13]1[cH:14][cH:15][c:16]2[c:17]([cH:18][n:19][n:20]2[CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][O:26]2)[c:27]1[B:29]1[O:30][C:31]([CH3:32])([CH3:33])[C:34]([CH3:35])([CH3:36])[O:37]1.[c:2]1([Br:28])[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1,[c:2]1(-[c:27]2[c:13]([CH3:12])[cH:14][cH:15][c:16]3[c:17]2[cH:18][n:19][n:20]3[CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][O:26]2)[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1.[Br:28].[B:29].[O:30].[C:31].[C:32].[C:33].[C:34].[C:35].[C:36].[O:37],0.21305373404707598
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B-:32]([F:33])([F:34])[F:35].[c:22]1([I:36])[cH:23][cH:24][c:25]2[n:26][cH:27][cH:28][cH:29][c:30]2[cH:31]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:22]1[cH:23][cH:24][c:25]2[n:26][cH:27][cH:28][cH:29][c:30]2[cH:31]1.[B:32].[F:33].[F:34].[F:35].[I:36],0.443966039489299
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B:37]1[O:38][C:39]([CH3:40])([CH3:41])[C:42]([CH3:43])([CH3:44])[O:45]1.[c:27]1([Cl:46])[cH:28][cH:29][c:30]2[n:31][cH:32][cH:33][cH:34][c:35]2[cH:36]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:27]1[cH:28][cH:29][c:30]2[n:31][cH:32][cH:33][cH:34][c:35]2[cH:36]1.[B:37].[O:38].[C:39].[C:40].[C:41].[C:42].[C:43].[C:44].[O:45].[Cl:46],0.12043050267999901
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B:40]1[O:41][C:42]([CH3:43])([CH3:44])[C:45]([CH3:46])([CH3:47])[O:48]1.[c:30]1([O:55][S:50](=[O:49])([C:51]([F:52])([F:53])[F:54])=[O:56])[cH:31][cH:32][c:33]2[n:34][cH:35][cH:36][cH:37][c:38]2[cH:39]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:30]1[cH:31][cH:32][c:33]2[n:34][cH:35][cH:36][cH:37][c:38]2[cH:39]1.[B:40].[O:41].[C:42].[C:43].[C:44].[C:45].[C:46].[C:47].[O:48].[O:49].[S:50].[C:51].[F:52].[F:53].[F:54].[O:55].[O:56],0.16143581323278
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B:31]([OH:32])[OH:33].[c:21]1([Cl:34])[cH:22][cH:23][c:24]2[n:25][cH:26][cH:27][cH:28][c:29]2[cH:30]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:21]1[cH:22][cH:23][c:24]2[n:25][cH:26][cH:27][cH:28][c:29]2[cH:30]1.[B:31].[O:32].[O:33].[Cl:34],0.491231313338811
[CH3:12][c:13]1[cH:14][cH:15][c:16]2[c:17]([cH:18][n:19][n:20]2[CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][O:26]2)[c:27]1[B:29]1[O:30][C:31]([CH3:32])([CH3:33])[C:34]([CH3:35])([CH3:36])[O:37]1.[c:2]1([Br:28])[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1,[c:2]1(-[c:27]2[c:13]([CH3:12])[cH:14][cH:15][c:16]3[c:17]2[cH:18][n:19][n:20]3[CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][O:26]2)[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1.[Br:28].[B:29].[O:30].[C:31].[C:32].[C:33].[C:34].[C:35].[C:36].[O:37],0.0
[CH3:20][c:21]1[cH:22][cH:23][c:24]2[c:25]([cH:26][n:27][n:28]2[CH:29]2[CH2:30][CH2:31][CH2:32][CH2:33][O:34]2)[c:35]1[Br:45].[c:6]1([B:42]2[O:41][C:38]([CH3:39])([CH3:40])[C:37]([CH3:36])([CH3:44])[O:43]2)[cH:7][cH:8][c:9]2[n:10][cH:11][cH:12][cH:13][c:14]2[cH:15]1,[c:6]1(-[c:35]2[c:21]([CH3:20])[cH:22][cH:23][c:24]3[c:25]2[cH:26][n:27][n:28]3[CH:29]2[CH2:30][CH2:31][CH2:32][CH2:33][O:34]2)[cH:7][cH:8][c:9]2[n:10][cH:11][cH:12][cH:13][c:14]2[cH:15]1.[C:36].[C:37].[C:38].[C:39].[C:40].[O:41].[B:42].[O:43].[C:44].[Br:45],0.657934483066571
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[Br:31].[c:21]1([B:33]([OH:32])[OH:34])[cH:22][cH:23][c:24]2[n:25][cH:26][cH:27][cH:28][c:29]2[cH:30]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:21]1[cH:22][cH:23][c:24]2[n:25][cH:26][cH:27][cH:28][c:29]2[cH:30]1.[Br:31].[O:32].[B:33].[O:34],0.44067831183516604
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B:40]1[O:41][C:42]([CH3:43])([CH3:44])[C:45]([CH3:46])([CH3:47])[O:48]1.[c:30]1([O:55][S:50](=[O:49])([C:51]([F:52])([F:53])[F:54])=[O:56])[cH:31][cH:32][c:33]2[n:34][cH:35][cH:36][cH:37][c:38]2[cH:39]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:30]1[cH:31][cH:32][c:33]2[n:34][cH:35][cH:36][cH:37][c:38]2[cH:39]1.[B:40].[O:41].[C:42].[C:43].[C:44].[C:45].[C:46].[C:47].[O:48].[O:49].[S:50].[C:51].[F:52].[F:53].[F:54].[O:55].[O:56],0.221938305525881
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B:31]([OH:32])[OH:33].[c:21]1([Cl:34])[cH:22][cH:23][c:24]2[n:25][cH:26][cH:27][cH:28][c:29]2[cH:30]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:21]1[cH:22][cH:23][c:24]2[n:25][cH:26][cH:27][cH:28][c:29]2[cH:30]1.[B:31].[O:32].[O:33].[Cl:34],0.133134959058639
[CH3:12][c:13]1[cH:14][cH:15][c:16]2[c:17]([cH:18][n:19][n:20]2[CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][O:26]2)[c:27]1[B-:29]([F:30])([F:31])[F:32].[c:2]1([Br:28])[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1,[c:2]1(-[c:27]2[c:13]([CH3:12])[cH:14][cH:15][c:16]3[c:17]2[cH:18][n:19][n:20]3[CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][O:26]2)[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1.[Br:28].[B:29].[F:30].[F:31].[F:32],0.137385358653544
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B:31]([OH:32])[OH:33].[c:21]1([I:34])[cH:22][cH:23][c:24]2[n:25][cH:26][cH:27][cH:28][c:29]2[cH:30]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:21]1[cH:22][cH:23][c:24]2[n:25][cH:26][cH:27][cH:28][c:29]2[cH:30]1.[B:31].[O:32].[O:33].[I:34],0.868849327266406
[CH3:12][c:13]1[cH:14][cH:15][c:16]2[c:17]([cH:18][n:19][n:20]2[CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][O:26]2)[c:27]1[B-:29]([F:30])([F:31])[F:32].[c:2]1([Br:28])[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1,[c:2]1(-[c:27]2[c:13]([CH3:12])[cH:14][cH:15][c:16]3[c:17]2[cH:18][n:19][n:20]3[CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][O:26]2)[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1.[Br:28].[B:29].[F:30].[F:31].[F:32],0.137881721435859
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B:37]1[O:38][C:39]([CH3:40])([CH3:41])[C:42]([CH3:43])([CH3:44])[O:45]1.[c:27]1([I:46])[cH:28][cH:29][c:30]2[n:31][cH:32][cH:33][cH:34][c:35]2[cH:36]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:27]1[cH:28][cH:29][c:30]2[n:31][cH:32][cH:33][cH:34][c:35]2[cH:36]1.[B:37].[O:38].[C:39].[C:40].[C:41].[C:42].[C:43].[C:44].[O:45].[I:46],0.9484964236630791
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B:31]([OH:32])[OH:33].[c:21]1([Cl:34])[cH:22][cH:23][c:24]2[n:25][cH:26][cH:27][cH:28][c:29]2[cH:30]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:21]1[cH:22][cH:23][c:24]2[n:25][cH:26][cH:27][cH:28][c:29]2[cH:30]1.[B:31].[O:32].[O:33].[Cl:34],0.048825316301071
[CH3:20][c:21]1[cH:22][cH:23][c:24]2[c:25]([cH:26][n:27][n:28]2[CH:29]2[CH2:30][CH2:31][CH2:32][CH2:33][O:34]2)[c:35]1[Br:45].[c:6]1([B:42]2[O:41][C:38]([CH3:39])([CH3:40])[C:37]([CH3:36])([CH3:44])[O:43]2)[cH:7][cH:8][c:9]2[n:10][cH:11][cH:12][cH:13][c:14]2[cH:15]1,[c:6]1(-[c:35]2[c:21]([CH3:20])[cH:22][cH:23][c:24]3[c:25]2[cH:26][n:27][n:28]3[CH:29]2[CH2:30][CH2:31][CH2:32][CH2:33][O:34]2)[cH:7][cH:8][c:9]2[n:10][cH:11][cH:12][cH:13][c:14]2[cH:15]1.[C:36].[C:37].[C:38].[C:39].[C:40].[O:41].[B:42].[O:43].[C:44].[Br:45],0.803991080677073
[CH3:12][c:13]1[cH:14][cH:15][c:16]2[c:17]([cH:18][n:19][n:20]2[CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][O:26]2)[c:27]1[B:29]([OH:30])[OH:31].[c:2]1([Br:28])[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1,[c:2]1(-[c:27]2[c:13]([CH3:12])[cH:14][cH:15][c:16]3[c:17]2[cH:18][n:19][n:20]3[CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][O:26]2)[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1.[Br:28].[B:29].[O:30].[O:31],0.319265419430075
[CH3:12][c:13]1[cH:14][cH:15][c:16]2[c:17]([cH:18][n:19][n:20]2[CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][O:26]2)[c:27]1[B:29]1[O:30][C:31]([CH3:32])([CH3:33])[C:34]([CH3:35])([CH3:36])[O:37]1.[c:2]1([Br:28])[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1,[c:2]1(-[c:27]2[c:13]([CH3:12])[cH:14][cH:15][c:16]3[c:17]2[cH:18][n:19][n:20]3[CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][O:26]2)[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1.[Br:28].[B:29].[O:30].[C:31].[C:32].[C:33].[C:34].[C:35].[C:36].[O:37],0.811411959626159
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B:31]([OH:32])[OH:33].[c:21]1([I:34])[cH:22][cH:23][c:24]2[n:25][cH:26][cH:27][cH:28][c:29]2[cH:30]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:21]1[cH:22][cH:23][c:24]2[n:25][cH:26][cH:27][cH:28][c:29]2[cH:30]1.[B:31].[O:32].[O:33].[I:34],0.628960409330221
[CH3:12][c:13]1[cH:14][cH:15][c:16]2[c:17]([cH:18][n:19][n:20]2[CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][O:26]2)[c:27]1[B:29]1[O:30][C:31]([CH3:32])([CH3:33])[C:34]([CH3:35])([CH3:36])[O:37]1.[c:2]1([Br:28])[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1,[c:2]1(-[c:27]2[c:13]([CH3:12])[cH:14][cH:15][c:16]3[c:17]2[cH:18][n:19][n:20]3[CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][O:26]2)[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1.[Br:28].[B:29].[O:30].[C:31].[C:32].[C:33].[C:34].[C:35].[C:36].[O:37],0.0302396704995803
[CH3:20][c:21]1[cH:22][cH:23][c:24]2[c:25]([cH:26][n:27][n:28]2[CH:29]2[CH2:30][CH2:31][CH2:32][CH2:33][O:34]2)[c:35]1[Br:45].[c:6]1([B:42]2[O:41][C:38]([CH3:39])([CH3:40])[C:37]([CH3:36])([CH3:44])[O:43]2)[cH:7][cH:8][c:9]2[n:10][cH:11][cH:12][cH:13][c:14]2[cH:15]1,[c:6]1(-[c:35]2[c:21]([CH3:20])[cH:22][cH:23][c:24]3[c:25]2[cH:26][n:27][n:28]3[CH:29]2[CH2:30][CH2:31][CH2:32][CH2:33][O:34]2)[cH:7][cH:8][c:9]2[n:10][cH:11][cH:12][cH:13][c:14]2[cH:15]1.[C:36].[C:37].[C:38].[C:39].[C:40].[O:41].[B:42].[O:43].[C:44].[Br:45],0.35388671244193903
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B:34]([OH:35])[OH:36].[c:24]1([O:43][S:38](=[O:37])([C:39]([F:40])([F:41])[F:42])=[O:44])[cH:25][cH:26][c:27]2[n:28][cH:29][cH:30][cH:31][c:32]2[cH:33]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:24]1[cH:25][cH:26][c:27]2[n:28][cH:29][cH:30][cH:31][c:32]2[cH:33]1.[B:34].[O:35].[O:36].[O:37].[S:38].[C:39].[F:40].[F:41].[F:42].[O:43].[O:44],0.5877612058950821
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B:34]([OH:35])[OH:36].[c:24]1([O:43][S:38](=[O:37])([C:39]([F:40])([F:41])[F:42])=[O:44])[cH:25][cH:26][c:27]2[n:28][cH:29][cH:30][cH:31][c:32]2[cH:33]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:24]1[cH:25][cH:26][c:27]2[n:28][cH:29][cH:30][cH:31][c:32]2[cH:33]1.[B:34].[O:35].[O:36].[O:37].[S:38].[C:39].[F:40].[F:41].[F:42].[O:43].[O:44],0.29452670500197997
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[Br:32].[c:22]1([B-:34]([F:33])([F:35])[F:36])[cH:23][cH:24][c:25]2[n:26][cH:27][cH:28][cH:29][c:30]2[cH:31]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:22]1[cH:23][cH:24][c:25]2[n:26][cH:27][cH:28][cH:29][c:30]2[cH:31]1.[Br:32].[F:33].[B:34].[F:35].[F:36],0.48631267423637903
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B-:35]([F:36])([F:37])[F:38].[c:25]1([O:45][S:40](=[O:39])([C:41]([F:42])([F:43])[F:44])=[O:46])[cH:26][cH:27][c:28]2[n:29][cH:30][cH:31][cH:32][c:33]2[cH:34]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:25]1[cH:26][cH:27][c:28]2[n:29][cH:30][cH:31][cH:32][c:33]2[cH:34]1.[B:35].[F:36].[F:37].[F:38].[O:39].[S:40].[C:41].[F:42].[F:43].[F:44].[O:45].[O:46],0.057454807373373704
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B-:35]([F:36])([F:37])[F:38].[c:25]1([O:45][S:40](=[O:39])([C:41]([F:42])([F:43])[F:44])=[O:46])[cH:26][cH:27][c:28]2[n:29][cH:30][cH:31][cH:32][c:33]2[cH:34]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:25]1[cH:26][cH:27][c:28]2[n:29][cH:30][cH:31][cH:32][c:33]2[cH:34]1.[B:35].[F:36].[F:37].[F:38].[O:39].[S:40].[C:41].[F:42].[F:43].[F:44].[O:45].[O:46],0.210153415777165
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B:34]([OH:35])[OH:36].[c:24]1([O:43][S:38](=[O:37])([C:39]([F:40])([F:41])[F:42])=[O:44])[cH:25][cH:26][c:27]2[n:28][cH:29][cH:30][cH:31][c:32]2[cH:33]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:24]1[cH:25][cH:26][c:27]2[n:28][cH:29][cH:30][cH:31][c:32]2[cH:33]1.[B:34].[O:35].[O:36].[O:37].[S:38].[C:39].[F:40].[F:41].[F:42].[O:43].[O:44],0.916452876915113
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B-:35]([F:36])([F:37])[F:38].[c:25]1([O:45][S:40](=[O:39])([C:41]([F:42])([F:43])[F:44])=[O:46])[cH:26][cH:27][c:28]2[n:29][cH:30][cH:31][cH:32][c:33]2[cH:34]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:25]1[cH:26][cH:27][c:28]2[n:29][cH:30][cH:31][cH:32][c:33]2[cH:34]1.[B:35].[F:36].[F:37].[F:38].[O:39].[S:40].[C:41].[F:42].[F:43].[F:44].[O:45].[O:46],0.257142604663828
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B-:32]([F:33])([F:34])[F:35].[c:22]1([Cl:36])[cH:23][cH:24][c:25]2[n:26][cH:27][cH:28][cH:29][c:30]2[cH:31]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:22]1[cH:23][cH:24][c:25]2[n:26][cH:27][cH:28][cH:29][c:30]2[cH:31]1.[B:32].[F:33].[F:34].[F:35].[Cl:36],0.163771258547634
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1[B-:32]([F:33])([F:34])[F:35].[c:22]1([I:36])[cH:23][cH:24][c:25]2[n:26][cH:27][cH:28][cH:29][c:30]2[cH:31]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][n:8][n:9]2[CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][O:15]2)[c:16]1-[c:22]1[cH:23][cH:24][c:25]2[n:26][cH:27][cH:28][cH:29][c:30]2[cH:31]1.[B:32].[F:33].[F:34].[F:35].[I:36],0.206713011262588
[CH3:12][c:13]1[cH:14][cH:15][c:16]2[c:17]([cH:18][n:19][n:20]2[CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][O:26]2)[c:27]1[B:29]([OH:30])[OH:31].[c:2]1([Br:28])[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1,[c:2]1(-[c:27]2[c:13]([CH3:12])[cH:14][cH:15][c:16]3[c:17]2[cH:18][n:19][n:20]3[CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][O:26]2)[cH:3][cH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1.[Br:28].[B:29].[O:30].[O:31],0.7282299592173029
